recid,eqid,magnitude,region,station_longitude,station_latitude,epi_dist,epi_azimuth,vs30,scaled_deltaW
50,30,6.61,CALIFORNIA,-118.387,33.801,70.91255067664628,3.111553451263001,280.56,-1.438342959571496
51,30,6.61,CALIFORNIA,-116.674,33.5556,188.0021281892384,2.111231375535763,360.45,2.3189955804420204
52,30,6.61,CALIFORNIA,-119.021,35.37,117.31489332256248,-0.4930503855987424,241.41,-2.861351442686364
53,30,6.61,CALIFORNIA,-116.37,33.26,229.71849768146672,2.167012131186881,338.54,0.4288717910131013
54,30,6.61,CALIFORNIA,-119.35,35.16,117.38377394550947,-0.8177530659763764,385.69,-1.303571122389509
55,30,6.61,CALIFORNIA,-117.838,33.9121,78.80293124413053,2.405656547514162,235.0,0.4593447398109692
56,30,6.61,CALIFORNIA,-118.642,34.564,25.36088595937404,-0.9963706193564796,450.28,1.4696742907748923
57,30,6.61,CALIFORNIA,-117.3,34.31,103.10717420130896,1.7056441765014656,477.22,-0.028061689867196
59,30,6.61,CALIFORNIA,-120.29,35.733,223.5294816856833,-0.8646850352978701,184.75,-1.6183412928671348
60,30,6.61,CALIFORNIA,-120.359,35.671,224.18763255346988,-0.9060949182740038,256.82,-0.8110070599585767
61,30,6.61,CALIFORNIA,-117.312,34.059,109.61513706823182,1.9612027351050585,301.95,0.4233544313520612
62,30,6.61,CALIFORNIA,-118.426,34.704,29.323026636303727,-0.0500107771511843,634.33,0.1446803488559924
63,30,6.61,CALIFORNIA,-118.9,34.87,65.52150604086201,-0.75292583376626,394.18,-1.341256638675322
64,30,6.61,CALIFORNIA,-118.72,34.808,49.746560822088696,-0.6067477447587026,308.35,0.4424941519394898
65,30,6.61,CALIFORNIA,-116.979,33.729,153.82481851532583,2.1020951575243414,328.09,1.6455891734853725
66,30,6.61,CALIFORNIA,-118.474,35.644,133.70096492325507,-0.0433694791220133,591.0,-1.1071351048117228
67,30,6.61,CALIFORNIA,-118.339,34.09,39.37130339856575,2.974387991853471,316.46,1.4230251848310775
68,30,6.61,CALIFORNIA,-118.23,33.77,76.15246681536823,2.920844561303716,217.92,-1.699060949752354
69,30,6.61,CALIFORNIA,-118.43,34.674,26.02301817894479,-0.0704952436406443,425.34,-0.160362470982795
70,30,6.61,CALIFORNIA,-118.56,34.571,20.023309387317088,-0.7579231150728786,602.1,1.902057624740329
71,30,6.61,CALIFORNIA,-118.478,34.65,24.11747646423453,-0.2614501067681318,600.06,0.9864871687032156
72,30,6.61,CALIFORNIA,-118.558,34.608,23.064389841408715,-0.6292765995778822,670.84,1.0315210319151742
73,30,6.61,CALIFORNIA,-119.486,35.997,198.5819512075917,-0.5104997685765468,303.79,-0.0567042831261627
74,30,6.61,CALIFORNIA,-119.429,35.04,114.62122791203088,-0.9461522698566556,443.85,-1.447422999930333
75,30,6.61,CALIFORNIA,-119.401,35.078,115.07070113255986,-0.9034054053558624,441.25,-1.818072747870236
77,30,6.61,CALIFORNIA,-118.11401,34.57806,31.19855099776033,1.0562174498267063,452.86,0.1157638574390392
78,30,6.61,CALIFORNIA,-118.121,34.139,42.69468738945304,2.4673146639861665,415.13,-0.3654744764275645
80,30,6.61,CALIFORNIA,-117.922,34.5083,45.46740709371175,1.400968248774439,529.09,1.4332337061686955
81,30,6.61,CALIFORNIA,-119.206,34.145,80.25904288198262,-1.9868360174447608,248.98,-1.2487955842705192
82,30,6.61,CALIFORNIA,-117.808,34.091,67.62046520592436,2.177398508557183,421.44,0.2109312866129117
