eqid,num_recs,magnitude,E
30,41,6.61,-55.03552992579085
76,42,6.36,-47.51722276852792
113,104,5.99,-115.71345517165442
114,65,5.27,-69.00076933976379
118,69,6.93,-100.6337220273069
125,76,7.28,-78.89870811700837
126,45,6.46,-65.76971854052243
127,147,6.69,-162.85829011952765
137,369,7.62,-391.347411067651
158,125,7.13,-147.35966046207574
161,41,4.53,-46.145370924203895
163,186,4.92,-232.71011219281323
167,118,4.27,-135.21865711459034
170,85,4.92,-131.30369207808997
171,280,5.9,-303.7233830287404
172,238,6.2,-264.7747498012537
173,238,6.2,-249.61144921415828
174,306,6.2,-301.45575935309165
175,280,6.3,-298.26995780064476
176,338,6.61,-393.93663220827557
177,65,6.5,-72.17940752049729
179,125,6.0,-170.52670099152883
180,464,6.63,-572.2271945139539
274,47,6.3,-57.31185468505534
278,542,6.8,-703.4256475652918
279,330,6.9,-424.09516148103745
280,284,7.2,-369.57818358080397
281,76,7.0,-104.11602975587012
346,76,6.2,-93.17993883896179
1001,150,5.45,-213.83993381034225
1002,184,5.39,-222.27499492274487
1003,126,5.2,-149.4935966164946
1006,118,5.03,-147.28801424460974
1007,107,4.88,-121.56006381641724
1008,97,4.77,-118.81359141605563
1011,169,4.7,-192.56417282570047
1012,126,4.69,-170.5979151425012
1013,59,4.6,-73.64983102157122
1014,139,4.59,-199.2829173383752
1015,122,4.18,-164.6528498410759
1016,118,4.34,-179.7350943058324
1018,245,4.45,-323.94505340237134
1019,189,4.66,-247.11045701208383
1020,84,4.26,-113.90057209542739
1021,138,4.3,-164.65105967030286
1022,83,4.35,-92.33738353042719
1023,110,4.5,-149.82126633401867
1025,85,4.42,-107.40648226452822
1027,47,4.78,-53.57003333675892
1028,196,4.73,-230.3560916429031
1030,69,4.3,-83.46774491120874
1031,82,4.25,-102.5030258937337
1032,75,4.2,-109.76965832766335
1033,51,4.3,-59.67509905108753
1034,50,4.5,-65.43563651841706
1035,105,4.26,-124.71579718961196
1038,89,4.27,-110.98751629200662
1042,43,4.42,-51.58782252820809
1043,73,4.12,-91.90018452242076
1044,74,4.14,-110.50031823292483
1045,161,4.2,-224.53315279350474
1046,99,4.23,-122.31251373860398
1048,46,4.27,-52.707563779988114
1049,65,4.0,-85.78910785181121
1050,109,4.18,-144.82352135375115
1051,130,4.1,-182.24972754613205
1052,59,4.11,-83.91463287421126
1053,50,4.34,-66.69029820833522
1054,70,4.26,-89.50670961885035
1059,103,4.0,-137.75975876331322
1060,112,4.0,-150.1584828581356
1061,43,4.11,-54.41917898301613
1062,62,4.06,-82.36178481807572
1064,95,4.19,-119.09791513142343
1065,42,4.2,-65.50317049898636
1066,106,3.9,-129.11571974586911
1068,53,4.06,-73.19191061559557
1069,82,3.9,-107.85663664986936
1070,83,3.96,-106.56209052841751
1075,86,4.17,-107.55488992194363
1076,64,3.79,-77.14111227705394
1079,97,3.7,-140.07490333243402
1081,51,3.8,-77.74457943753545
1085,54,3.94,-64.1654703396646
1086,68,4.19,-99.89164132286561
1089,49,4.05,-100.06462872877364
1091,41,3.78,-53.27376974607172
1094,66,3.9,-87.98184892733944
1095,70,3.84,-86.18249360987117
1096,91,3.58,-106.44018169840082
1097,55,3.67,-72.10760632426391
1098,85,3.68,-102.55219938941629
1099,47,3.7,-61.706673431652966
1100,47,3.7,-67.44766764487441
1101,117,3.7,-141.132352815102
1103,67,3.74,-86.14629770968659
1107,43,3.78,-49.74054090804479
1108,80,3.9,-135.9029515405136
1110,60,3.86,-77.75238816242017
1113,83,3.99,-94.57499121729609
1118,44,4.06,-56.45019904122583
1123,54,3.6,-66.0611894587217
1125,90,3.6,-90.02220907430612
1128,74,3.64,-95.64461186206289
1130,67,3.71,-82.80087512559436
1131,41,3.58,-51.004550569739436
1132,61,3.64,-74.90107146753658
1134,57,3.64,-78.80324430985588
1135,57,3.74,-69.02391373024494
1137,68,3.5,-88.85032962584827
1138,87,3.5,-112.91508968776535
1139,52,3.61,-64.106337220849
1140,69,3.69,-110.45027291241328
1145,41,3.49,-50.285098526577286
1146,56,3.6,-91.07462053906478
1151,42,3.52,-53.429857149599314
1152,83,3.53,-99.85800290657521
1154,51,3.53,-86.6519235462277
1156,40,3.56,-52.22910592011948
1160,62,3.4,-73.23084236432588
1163,47,3.62,-56.95713864206909
1166,41,3.4,-48.87459798931374
1170,67,3.41,-83.88848503353974
1178,62,4.04,-80.00921413406762
1186,83,5.19,-110.63322728222884
1190,49,4.2,-53.76831364622308
1221,152,4.05,-182.54199329043945
1264,49,3.43,-60.9652047704115
