eqid,num_recs,magnitude,E,EA,EAS
30,41,6.61,-54.95023642918268,-55.34387626581096,-53.60851039449656
76,42,6.36,-47.59308805503919,-47.447761418604316,-48.457158465785625
113,104,5.99,-117.76368751194734,-115.64060232310099,-113.95826472799266
114,65,5.27,-71.23108348683697,-70.49996823465604,-69.73698558370555
118,69,6.93,-101.33375883656716,-102.22961358179025,-101.20359553853953
125,76,7.28,-80.80556154281088,-80.45040977186761,-78.99912776510203
126,45,6.46,-67.61475977801396,-65.55282426413508,-63.32088985006297
127,147,6.69,-162.55590958214304,-159.70052630989284,-159.31973018209422
137,369,7.62,-395.2630558435412,-392.67289520111865,-379.4524053529926
158,125,7.13,-148.01145215122298,-148.34207564714876,-145.8769506410786
161,41,4.53,-47.482465892499505,-46.85875688901356,-46.74684276143992
163,186,4.92,-232.33737049565914,-231.30681762447367,-227.2487310365864
167,118,4.27,-139.77558172850613,-136.82209942066177,-134.35271968404734
170,85,4.92,-138.9524974676998,-135.3588309542899,-137.49441279928172
171,280,5.9,-306.3556745293011,-306.0229986401067,-297.8327459291645
172,238,6.2,-269.9693277123727,-262.7041918996936,-260.80375422994575
173,238,6.2,-254.09613510009424,-249.47094149091433,-244.61597957174266
174,306,6.2,-310.1244432707126,-308.74913687039947,-297.99223079244575
175,280,6.3,-300.62324354847095,-299.71190570816424,-291.8064702943989
176,338,6.61,-400.1211349179404,-399.4458925933692,-392.4669317201801
177,65,6.5,-73.5090103899853,-73.47883350814426,-72.6392797426411
179,125,6.0,-174.7991996160504,-176.47966361275638,-174.28501643697703
180,464,6.63,-574.9313226799454,-574.9836548965313,-572.7078069643208
274,47,6.3,-57.17346317919797,-56.65158954467552,-55.532590289516094
278,542,6.8,-706.0590385188365,-702.9791417509027,-690.9431585268208
279,330,6.9,-429.2303817827239,-418.6422796111097,-422.1530279115864
280,284,7.2,-376.62219215152425,-376.6577307293896,-373.6236089662739
281,76,7.0,-105.90633929616692,-107.48306140802033,-102.91737880269969
346,76,6.2,-95.11798458488637,-96.27076388581183,-93.85857905904734
1001,150,5.45,-213.47620912652434,-204.90922910141583,-205.94386043111766
