LE,gammaE,loglik
49.443756,0.5393541,-71.73205
13.080006,0.6483062,-73.04352
31.714357,0.77271956,-72.45549
33.679405,0.78451145,-72.86946
21.435843,0.7743279,-71.96147
31.907825,0.5693568,-71.56308
48.434162,0.46211383,-71.796844
55.75295,0.50661767,-71.824615
22.653883,0.6529743,-71.72276
36.939953,0.6130886,-71.57761
31.435669,0.6677824,-71.60507
26.873734,0.7227353,-71.72939
15.549368,0.586672,-72.695175
8.130585,0.4117639,-74.87114
25.895096,0.3739088,-72.89357
19.614227,0.45799726,-72.77367
20.149944,0.48741636,-72.55344
43.504623,0.42772302,-71.98403
25.242678,0.69095975,-71.630516
30.928219,0.7130743,-71.81267
32.051243,0.6307088,-71.52951
29.29558,0.6249694,-71.52975
32.15294,0.55989224,-71.58131
40.16799,0.5354235,-71.59352
16.428709,0.8260841,-72.498535
20.463886,0.4548525,-72.71375
23.551302,0.3714915,-73.044876
24.070656,0.542105,-71.95719
42.044056,0.52457446,-71.61915
39.26728,0.42078424,-72.09004
67.71009,0.4646151,-72.01404
64.794685,0.4704549,-71.96493
19.308586,0.618714,-72.073845
20.333189,0.6539323,-71.8929
21.445463,0.65704525,-71.798004
21.996534,0.8661043,-72.71858
19.655422,0.81854707,-72.24129
24.929796,0.56560713,-71.80783
59.047375,0.51315844,-71.919945
54.02379,0.512444,-71.794945
51.661404,0.48696527,-71.75706
25.915342,0.67080885,-71.59292
18.236134,0.8626701,-72.58884
18.947678,0.89698297,-72.91712
19.516855,0.8870443,-72.82474
18.061018,0.7610629,-72.122696
35.82137,0.6877428,-71.898636
31.348454,0.5822474,-71.54619
34.14595,0.5128358,-71.70053
36.415874,0.45818916,-71.9196
45.161697,0.51510704,-71.65527
34.374653,0.41706476,-72.231155
14.916477,0.50840044,-73.10378
15.570488,0.53051084,-72.9044
10.176081,0.62678266,-73.92718
77.59999,0.4509662,-72.18675
56.250008,0.2585239,-73.22451
71.432884,0.5416315,-72.59116
82.406395,0.21185225,-73.58836
47.44033,0.587715,-71.83455
15.952989,0.7147238,-72.37161
24.393143,0.6329276,-71.65674
26.91689,0.65226096,-71.56381
30.54383,0.5247322,-71.73839
22.571907,0.77974486,-71.976746
24.363796,0.6216804,-71.6771
19.872223,0.54576784,-72.28512
19.549603,0.4450649,-72.857056
11.31196,0.4925707,-73.86755
34.415047,0.63946,-71.5862
23.944263,0.6318529,-71.68034
42.777954,0.58626044,-71.66386
66.22459,0.5038728,-72.092896
33.3451,0.4093249,-72.31715
24.652805,0.11856434,-75.450485
2.688312,0.16255315,-76.44945
331.5783,0.2956034,-74.12374
332.2354,0.26148477,-73.77327
90.51901,0.2924166,-72.74469
111.397484,0.34750047,-72.56111
19.81168,0.72780126,-71.91621
8.382641,0.93508005,-75.13841
