E,EA,EAS
-73.45315234451931,-73.445548350858,-72.47821
-73.4531001645073,-73.41916751361859,-72.62443
-73.46373851401901,-73.3790993218113,-72.62866
-73.45496054209318,-73.60475809882527,-72.5182
-73.58377625938921,-73.370511519495,-72.65818
-73.63587341444273,-73.59027481712431,-72.66366
-73.50754716137556,-73.41541857750178,-72.59876
-73.54087401541597,-73.60753237432294,-72.68846
-73.47182132904037,-73.47523943351285,-72.41421
-73.53357269226348,-73.36649370176352,-72.544556
-73.51365144692888,-73.67475586699427,-72.75824
-73.41563245153387,-73.32143516591682,-72.59053
-73.39709220724069,-73.3785288039047,-72.65503
-73.62369523552437,-73.3785288039047,-72.67294
-73.39688985469093,-73.51328979665007,-72.69152
-73.54304145299598,-73.49651338325606,-72.6975
-73.54844285890536,-73.58950564372915,-72.39526
-73.54756690206169,-73.43804326238973,-72.80367
-73.40062900105504,-73.37125056751479,-72.82593
-73.6195728697692,-73.60340178848509,-72.317535
-73.7028552011328,-73.37202585922365,-72.40245
-73.60570051418235,-73.44676256196108,-72.41342
-73.49295760468743,-73.51885448449244,-72.55189
-73.49968626107747,-73.52414146647831,-72.66459
-73.68067676354073,-73.34546029932801,-72.39983
-73.63018247119629,-73.70430542083099,-72.4433
-73.60280741714753,-73.73045541447084,-72.351105
-73.56789640393761,-73.53783832826744,-72.98891
-73.50952548197387,-73.39815757238163,-72.685936
-73.61098513667172,-73.49772145147266,-72.63901
-73.35765460339368,-73.49772145147266,-72.597946
-73.52275236908436,-73.4642576902871,-72.74764
-73.41210105701677,-73.5628708892707,-72.62721
-73.40121952009096,-73.45947262738619,-72.77104
-73.52829482395488,-73.45436793196541,-72.56519
-73.5538517650615,-73.68197456129846,-72.56271
-73.5395445024286,-73.46396003602271,-72.665115
-73.51414260593319,-73.50507170553145,-72.6279
-73.51811923312333,-73.52438489038443,-72.695854
-73.473958271833,-73.40085993117796,-72.58205
-73.63512127308503,-73.56304127535485,-72.620384
-73.43617747287739,-73.42611439833766,-72.4861
-73.37917245858924,-73.38335891064156,-72.401886
-73.37868949321225,-73.39214234396935,-72.91759
-73.30434500477013,-73.27500656480066,-72.51755
-73.34564813076659,-73.55537317748295,-72.45511
-73.63460632980372,-73.40244833876235,-72.65477
-73.43443925498022,-73.58926213848396,-72.53535
-73.45512617100648,-73.50653627918513,-72.644516
-73.4044061534288,-73.45856913215727,-72.70035
-73.52784532317492,-73.50898563073392,-72.6209
-73.56489433676177,-73.51749365113567,-72.55227
-73.52008900253983,-73.42886825205618,-72.6073
-73.4562425840259,-73.53110528754644,-72.80194
-73.55810248031445,-73.58708076478707,-72.40167
-73.48404541248402,-73.55820073764681,-72.42409
-73.54361911507621,-73.4919186308687,-72.508545
-73.4625072544097,-73.38365133711852,-72.69526
-73.38352568886508,-73.39713439213298,-72.66054
-73.48112008486945,-73.64098528769978,-72.74598
-73.52247163308374,-73.31532285787765,-72.49474
-73.55746222732479,-73.59519254174569,-72.71887
-73.3827883922549,-73.52695799000483,-72.67296
-73.5263159114415,-73.53643770154554,-72.66868
-73.64982645809559,-73.46174513979952,-72.72468
-73.66165600350418,-73.5299690312302,-72.750725
-73.49128882149896,-73.6573539570295,-72.728775
-73.69277008304235,-73.2989716126375,-72.62878
-73.55835886514016,-73.53270270126023,-72.63716
-73.5314333721428,-73.65303555842281,-72.55249
-73.46196600411724,-73.39109683076536,-72.880936
-73.47414495046209,-73.31805048892215,-72.819305
-73.45911616025441,-73.54197339527309,-72.4536
-73.46382835422567,-73.58307234661999,-72.74639
-73.4778520738196,-73.38742178183792,-72.64569
