E,EA,EAS,ind
-361.5320515945748,-361.29305248878165,-354.0113784302623,-422.1748499430632
-361.41465183976106,-361.5402445774018,-354.32215604379417,-422.1748499430632
-361.8601491953964,-361.6199440620019,-354.01824012266195,-422.1748499430632
-361.98952695246913,-362.5522757259075,-353.2043532855256,-422.1748499430632
-362.46513804265794,-361.3637640547592,-353.57529878016794,-422.1748499430632
-361.3055159617321,-361.1357767322143,-354.05027526334027,-422.1748499430632
-362.2319579581944,-361.1276015208136,-353.5225170255221,-422.1748499430632
-361.93650594004265,-360.382464133728,-352.51562333756124,-422.1748499430632
-360.5980947123148,-361.38734451115096,-355.2395132960281,-422.1748499430632
-360.398438402188,-360.6204093122367,-354.3996571250208,-422.1748499430632
-361.2500522588495,-361.1145349553804,-354.3572321292657,-422.1748499430632
-361.4392432600114,-362.49244007740697,-354.70906206188084,-422.1748499430632
-362.8597860774955,-361.29286920503375,-352.9287168725408,-422.1748499430632
-362.3703826307704,-362.4037020987058,-355.6209210395864,-422.1748499430632
-360.5391845404741,-360.9208290885508,-355.44785248219966,-422.1748499430632
-360.6494866046546,-361.2760185970513,-354.4545291106453,-422.1748499430632
-361.9091400648014,-362.0045373949616,-354.96362924246847,-422.1748499430632
-360.7742104009003,-361.9875166594224,-353.62478581765623,-422.1748499430632
-361.794805274092,-361.1759178989186,-355.0893526072033,-422.1748499430632
-362.3963398325783,-360.4148139564195,-355.7659719301223,-422.1748499430632
-362.3779850154832,-362.4940405286997,-353.08934482125244,-422.1748499430632
-361.233222798213,-361.6493229187698,-356.88855929773723,-422.1748499430632
-361.35201138175273,-360.0721630299006,-354.5791883213162,-422.1748499430632
-361.2927129171118,-361.5248673636425,-354.2533052435341,-422.1748499430632
-361.6589449312136,-361.3332210061801,-353.8113582592789,-422.1748499430632
-361.5666294964259,-361.4267840022742,-354.97333452086326,-422.1748499430632
-361.2897580388059,-362.58669243632073,-354.0009885299131,-422.1748499430632
-362.1435603142746,-362.1990111976069,-355.5128818144026,-422.1748499430632
-361.3574727417984,-362.3558746147696,-356.0926306541067,-422.1748499430632
-360.81653391532177,-360.4605394524291,-354.4603417078541,-422.1748499430632
-361.674528022528,-361.5698700474968,-353.402032349952,-422.1748499430632
-361.8497772749064,-362.5387637253517,-354.2863141832824,-422.1748499430632
-361.5162623663551,-361.2109460853151,-354.5788481989751,-422.1748499430632
-361.8273276025982,-361.5913109686519,-354.378171429104,-422.1748499430632
-362.38264686207134,-361.119883323217,-355.34718996643085,-422.1748499430632
-360.8016025764148,-361.5590758012001,-353.95893933918467,-422.1748499430632
-361.0397793856903,-360.9021281684387,-355.35287177357725,-422.1748499430632
-360.2890898507552,-361.7432145398765,-352.5503336871379,-422.1748499430632
-361.8989888271705,-360.9202348480793,-353.56824488323826,-422.1748499430632
-362.6514464825569,-362.9336084388343,-355.02157052086494,-422.1748499430632
-361.29170073318295,-361.7548161263043,-353.5908022412977,-422.1748499430632
-362.24461479592605,-361.2629125418481,-353.650906925407,-422.1748499430632
-361.1732644426343,-361.535390213544,-353.9390215705401,-422.1748499430632
-362.1599778743615,-360.0119135391601,-356.2539083302227,-422.1748499430632
-361.51635560057287,-360.3889672280224,-353.7552894235341,-422.1748499430632
-361.1833467825818,-362.5805938011507,-354.16583486759487,-422.1748499430632
-360.616173889046,-361.4270120659057,-354.0457713599983,-422.1748499430632
-361.5816039626216,-362.9398510476983,-354.3737604330421,-422.1748499430632
-362.5067159962279,-361.3563406398483,-353.14767991643885,-422.1748499430632
-361.5381239190415,-361.8027904158382,-354.1752797116972,-422.1748499430632
-362.1907801940733,-361.8158227228898,-354.96283589421284,-422.1748499430632
-363.1686649358804,-361.4874565273078,-353.6718584880786,-422.1748499430632
-361.8447376012956,-360.6348161123059,-353.5021197172188,-422.1748499430632
-361.6431851071264,-362.1476666147661,-354.7220241913773,-422.1748499430632
-361.22410283674,-360.8134804565887,-353.9145611142409,-422.1748499430632
-361.67162610938834,-359.9995515448662,-354.6298770160493,-422.1748499430632
-360.7512242802471,-360.9585080675328,-353.26946993830626,-422.1748499430632
-360.9081346298956,-361.6753362222803,-354.42117160547275,-422.1748499430632
-362.5583309447576,-362.06810500497176,-354.28612458031307,-422.1748499430632
-360.35744571895,-360.6508785362505,-354.65147334697355,-422.1748499430632
-362.1336951022058,-361.2345339838661,-354.8227558108774,-422.1748499430632
-360.89723213785976,-361.211081821776,-353.3709618935264,-422.1748499430632
-362.229011152649,-360.5882245890889,-353.6129199436958,-422.1748499430632
-361.6227654434093,-361.0479705353534,-354.2887901232656,-422.1748499430632
